noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,27.81563016546419,27.81563016546983,27.81563016546114,27.815630165453914,27.815630165465745
1e-07,27.81563016546419,27.815630572658407,27.81563017082714,27.81562995465595,27.815630378092983
0.0001,27.81563016546419,27.81605995154248,27.81563583286743,27.81541654412497,27.815847053458327
0.01,27.81563016546419,28.008088336940663,27.83707490821608,27.812915588560536,27.89711665531045
0.1,27.81563016546419,29.14169198319842,28.366581327683104,27.826094808328023,28.906353961065335
1,27.81563016546419,60.050018982281564,32.71221661777891,28.042799021373025,47.362266629005646
5,27.81563016546419,66.5332858636894,43.22852061607268,28.803367770411963,59.90488213897271
