noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,21.651739017629374,21.65173901762954,21.651739017629204,21.65173901762793,21.6517390176294
1e-07,21.651739017629374,21.651739021660095,21.651739017714377,21.651739015602256,21.651739019664376
0.0001,21.651739017629374,21.651743050378407,21.651739105572172,21.651736995532637,21.651741056701884
0.01,21.651739017629374,21.652160817443015,21.651748203883102,21.65153563928696,21.65194653132639
0.1,21.651739017629374,21.658376419391303,21.651924460017092,21.649819453189107,21.654218545406934
1,21.651739017629374,21.996145474083352,21.674260998759635,21.64623093194581,21.74391026275805
5,21.651739017629374,39.71949169719697,22.372804705574108,21.653944018059732,24.395289216380686
