noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,9.214541610178095,11.39598646026219,10.382568711818525,9.662756253144497,11.086675449624998
1e-07,9.214541610178095,46.20694432619426,30.236735947346684,19.679363347261578,45.407288300576205
0.0001,9.214541610178095,53.7239046997737,45.65916609016771,35.68006855653872,51.832460247220816
0.01,9.214541610178095,79.90729416685888,53.203317827943074,43.511404274613696,67.00224076848643
0.1,9.214541610178095,105.29620740856834,64.47661827851907,46.21501431688586,81.27939293870233
1,9.214541610178095,104.1721276469195,79.78993703356146,63.2802567685544,102.32091529610955
5,9.214541610178095,110.1768170174191,83.15297436886092,69.78155202815934,103.47446795819293
