noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,15.808905784757338,15.808905785414018,15.808905784860082,15.808905784459677,15.808905785183885
1e-07,15.808905784757338,15.808922508275222,15.808905950834443,15.80889517240148,15.808916080475415
0.0001,15.808905784757338,15.88946018569614,15.827916256094335,15.810784961496772,15.856957670585565
0.01,15.808905784757338,17.543108251030542,16.694992234676675,16.16724989242799,17.34160840913768
0.1,15.808905784757338,20.769252140918894,18.00830375532789,16.78790046326711,19.331918441912283
1,15.808905784757338,31.15909162269414,21.7235378924286,18.713655700272454,24.99561724524593
5,15.808905784757338,53.73012567712667,26.684497812659878,20.991325333660733,32.83004816538282
