noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,39.94883797998324,39.94883797998335,39.948837979982414,39.94883797998174,39.94883797998321
1e-07,39.94883797998324,39.948838603230556,39.948837974679684,39.948837630255696,39.9488383183027
0.0001,39.94883797998324,39.949480233444774,39.948841192084295,39.948516822188196,39.94917968865134
0.01,39.94883797998324,40.59843970732256,40.00505447726635,39.94857240020268,40.21172432693558
0.1,39.94883797998324,53.77963690202549,41.498329400021625,39.952679088395286,46.868427276197714
1,39.94883797998324,80.6035724387282,53.74285218423525,40.40996510574849,76.48620141462692
5,39.94883797998324,108.97178443914576,68.97820940641199,42.19818571703782,90.40248406806812
