noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,15.668202776568116,15.668202778606007,15.66820277671553,15.668202775662088,15.668202777915866
1e-07,15.668202776568116,15.668220679604945,15.668202581863389,15.668190491463395,15.668213848822521
0.0001,15.668202776568116,15.734633494688822,15.677169192019496,15.667438791342494,15.70335611249925
0.01,15.668202776568116,19.507018979962222,16.72740584461645,15.873478474564692,18.514132095603312
0.1,15.668202776568116,29.594797125795747,19.904921088545194,16.547165700463673,26.204211495713462
1,15.668202776568116,37.48295161944599,27.408957151526746,20.4689649355482,37.03353020232717
5,15.668202776568116,44.829547317446085,31.524836098430615,21.837856047358944,39.36127322052818
