noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,15.806571849386414,15.806571850522468,15.806571849726327,15.806571849331931,15.806571850188746
1e-07,15.806571849386414,15.806577754370796,15.80657186204871,15.806568108218965,15.806575463478046
0.0001,15.806571849386414,15.954785581606878,15.851047630758112,15.810626947227375,15.92003646788915
0.01,15.806571849386414,17.921394932276762,16.892513326925066,16.209836825385256,17.66967327693986
0.1,15.806571849386414,21.10097117587163,18.345149380303393,16.88617259175035,20.16640773223553
1,15.806571849386414,33.96618270263989,22.78436558129637,18.777810075317912,31.822196924960128
5,15.806571849386414,52.29525696339748,26.94076977302287,20.95742896776079,33.307828417751765
