noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,21.265560956095666,21.265560956165658,21.265560956109912,21.26556095609059,21.26556095613548
1e-07,21.265560956095666,21.265570573695864,21.265560897584113,21.265555558638468,21.265566123649318
0.0001,21.265560956095666,21.286969908100154,21.26662519785176,21.262841898215417,21.274034725050207
0.01,21.265560956095666,33.66294114979216,24.9314540280916,21.366225746417808,33.2828249669403
0.1,21.265560956095666,38.057526732721755,24.36164912778812,22.0026966687073,34.00234047679614
1,21.265560956095666,51.75666685927452,33.02876219236719,22.3283567015689,48.39247035530057
5,21.265560956095666,60.12477270798327,40.93082248798246,24.655389421227724,59.01789701192658
