noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,37.185121037453726,37.18512116741054,37.185120993793824,37.18512090509834,37.185121092223504
1e-07,37.185121037453726,37.19919317443664,37.18495426261398,37.17668889007661,37.19126616655458
0.0001,37.185121037453726,44.4863589223452,41.57386801711907,37.18928825507321,43.76940137734356
0.01,37.185121037453726,59.54955636557754,49.1780811359245,42.679714942000345,55.74290118468171
0.1,37.185121037453726,77.13699841620154,56.3251794142899,48.48163975456634,71.76092132350217
1,37.185121037453726,78.84269405473762,62.86518679860975,54.85486858711159,77.55721913617538
5,37.185121037453726,83.46637139455028,64.99407943581646,57.17231882396629,77.81165453849412
