noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,47.32636390498241,48.634820833429124,48.062464248786384,47.337219853311986,48.55978724312243
1e-07,47.32636390498241,56.357077975266876,54.33176858318389,52.396775193557325,56.02800401652443
0.0001,47.32636390498241,85.01822316980778,74.0982176722427,55.405021220947425,84.0610126337073
0.01,47.32636390498241,87.79545956159839,68.70610008513027,55.80843786785619,85.92145302360474
0.1,47.32636390498241,93.80197312847544,69.7235909852524,57.331635489907406,85.59820267919608
1,47.32636390498241,110.84192033029979,75.76646194870435,63.10053879349702,80.38614005685085
5,47.32636390498241,123.60124396367087,85.78488389420559,73.09623032432103,117.25269290594402
