noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,54.40381016712696,54.40381016712711,54.40381016712697,54.4038101671269,54.403810167127055
1e-07,54.40381016712696,54.403810181543534,54.40381016703845,54.40381015994499,54.40381017484593
0.0001,54.40381016712696,54.40382458424644,54.40381007869714,54.4038029853166,54.403817886351355
0.01,54.40381016712696,54.40525890384252,54.40380213437529,54.40309353477951,54.40458428714151
0.1,54.40381016712696,54.419449024141606,54.403877424179434,54.39709972661861,54.41184205721322
1,54.40381016712696,54.57399757219632,54.40885413323666,54.353874894432266,54.47485965704482
5,54.40381016712696,55.74954452147759,54.56199127874523,54.2390606736054,55.30016319146447
