noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,9.08792696258905,11.363211369293756,10.432572681266178,9.387782155743771,11.31277032950579
1e-07,9.08792696258905,49.2469576480604,33.35990391958764,18.504667044049558,48.78478903428846
0.0001,9.08792696258905,53.55833731501684,37.532204276081735,23.652008844227637,52.920996346301486
0.01,9.08792696258905,65.93334858250796,44.523342486785005,35.66494195092206,60.098810316146476
0.1,9.08792696258905,94.44603467178966,56.83822826453875,43.36539861725306,67.52055841329965
1,9.08792696258905,100.62968951078923,65.82515100971574,47.42568044726377,74.92935431463333
5,9.08792696258905,112.26213206775408,72.13481560304585,49.17403647638085,100.58391534039202
