noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,70.03313214767067,70.03313214767437,70.03313214767137,70.03313214767,70.03313214767259
1e-07,70.03313214767067,70.03313225022013,70.03313214712779,70.03313209087933,70.0331322068611
0.0001,70.03313214767067,70.0332346897293,70.03313160324743,70.03307535251801,70.0331913360359
0.01,70.03313214767067,70.0434416262279,70.03307624027948,70.02743434784465,70.03902215729035
0.1,70.03313214767067,70.1346469712551,70.03284022150964,69.97682156660201,70.0923578628965
1,70.03313214767067,70.84664883058647,70.02432012542432,69.55566942616157,70.54331933281817
5,70.03313214767067,72.52371784517372,70.04061181531117,68.5188116964389,71.77150742396128
