noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,39.69408997677647,40.06951010276743,39.92133006370304,39.776308667718155,39.985770384313184
1e-07,39.69408997677647,41.95146367619646,41.62550206668928,41.29641414786624,41.89351263406313
0.0001,39.69408997677647,43.89853530232569,43.333543291013775,42.54083916120519,43.73230969889047
0.01,39.69408997677647,44.166689144707405,43.81090250132474,43.62980577991234,44.10728050070567
0.1,39.69408997677647,49.256042614931125,44.12824155790093,43.73987719177113,44.86597253039627
1,39.69408997677647,69.16514984991281,51.14927934621295,43.92761270484527,66.18376174618761
5,39.69408997677647,102.0317125238895,63.3442855988575,44.533826366455656,92.21195986770668
