noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,12.458823175728716,12.458823311051896,12.458823213581178,12.45882316196506,12.458823262425607
1e-07,12.458823175728716,12.539977000343736,12.464819228771775,12.456799322969129,12.491204543905177
0.0001,12.458823175728716,51.42901353566414,27.40212437756801,15.387724388233414,45.55155816426681
0.01,12.458823175728716,52.749202755390336,39.625938613627554,18.891302528909467,52.09602853377847
0.1,12.458823175728716,69.35370761903548,48.42396534066225,34.93036388659952,57.445575142384556
1,12.458823175728716,111.5846346035375,75.60527452895293,50.087407908196354,98.38869782819114
5,12.458823175728716,119.27084773980687,97.5761671940024,60.08014441902364,116.21165187705832
