noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,36.66949341382569,36.669493414372866,36.66949341378627,36.669493413534305,36.66949341414622
1e-07,36.66949341382569,36.669843957314875,36.66948947578875,36.66928641267,36.6696767904271
0.0001,36.66949341382569,37.40780445839777,36.78549192108323,36.65804586146064,37.04435857502328
0.01,36.66949341382569,55.59363564651757,40.96128449346904,37.10768997373556,47.85733424620386
0.1,36.66949341382569,105.45881802985038,60.14468235306939,40.638725824305446,95.62030059946802
1,36.66949341382569,119.15312219316121,96.87030678593716,53.392694496200285,116.6531558287806
5,36.66949341382569,123.55248167512858,94.75726459015624,53.58712934911669,119.17723786149003
