noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,15.576321457789636,15.576321462796383,15.576321457485504,15.57632145471786,15.576321460405497
1e-07,15.576321457789636,15.576418054736688,15.576322178891314,15.576267662265387,15.576374655956498
0.0001,15.576321457789636,16.242689946908577,15.71078905186557,15.57586261638728,16.023620527641587
0.01,15.576321457789636,19.704959852581418,17.14473589569931,15.976699551857102,18.781919006033498
0.1,15.576321457789636,29.182829300627976,20.83688108337599,17.051884478075888,24.98757914342363
1,15.576321457789636,49.659383095240294,35.385676233481426,20.280996592274228,48.26599054150456
5,15.576321457789636,50.7243827883063,44.922003348110366,23.113048570014833,50.04285024588056
