,lanes,x_start_ft,x_end_ft,x_start_mile,x_end_mile,length_mi
0,4.0,0.0,1312.3359580052493,0.0,0.24854847689493356,0.24854847689493356
1,3.065755607855403,1312.3359580052493,2624.6719160104985,0.24854847689493356,0.4970969537898671,0.24854847689493356
2,3.320992992522205,2624.6719160104985,3937.007874015748,0.4970969537898671,0.7456454306848007,0.2485484768949336
3,3.758148548957884,3937.007874015748,5249.343832020997,0.7456454306848007,0.9941939075797342,0.24854847689493353
4,3.927341328606275,5249.343832020997,6561.679790026246,0.9941939075797342,1.242742384474668,0.24854847689493365
5,3.0,6561.679790026246,7874.015748031496,1.242742384474668,1.4912908613696014,0.24854847689493353
6,3.173432890494099,7874.015748031496,9186.351706036745,1.4912908613696014,1.739839338264535,0.24854847689493353
7,3.0524232226546784,9186.351706036745,10498.687664041994,1.739839338264535,1.9883878151594685,0.24854847689493353
8,3.0,10498.687664041994,11811.023622047243,1.9883878151594685,2.236936292054402,0.24854847689493353
9,3.0,11811.023622047243,13123.359580052493,2.236936292054402,2.485484768949336,0.24854847689493376
10,3.0,13123.359580052493,14435.695538057742,2.485484768949336,2.734033245844269,0.2485484768949333
11,3.0,14435.695538057742,15748.031496062991,2.734033245844269,2.982581722739203,0.24854847689493376
12,3.0,15748.031496062991,17060.36745406824,2.982581722739203,3.2311301996341366,0.24854847689493376
13,2.058116572059935,17060.36745406824,18372.70341207349,3.2311301996341366,3.47967867652907,0.2485484768949333
14,2.0,18372.70341207349,19685.03937007874,3.47967867652907,3.7282271534240037,0.24854847689493376
15,2.0,19685.03937007874,20997.37532808399,3.7282271534240037,3.976775630318937,0.2485484768949333
16,2.256718230086269,20997.37532808399,22309.711286089238,3.976775630318937,4.22532410721387,0.2485484768949333
17,3.0,22309.711286089238,23622.047244094487,4.22532410721387,4.473872584108804,0.24854847689493376
18,2.487931804013891,23622.047244094487,24934.383202099736,4.473872584108804,4.722421061003738,0.24854847689493376
19,2.0,24934.383202099736,26246.719160104985,4.722421061003738,4.970969537898672,0.24854847689493376
20,2.0,26246.719160104985,27559.055118110235,4.970969537898672,5.219518014793605,0.24854847689493376
21,2.711032728089069,27559.055118110235,28871.391076115484,5.219518014793605,5.468066491688538,0.24854847689493287
22,2.3117410108583343,28871.391076115484,30183.727034120733,5.468066491688538,5.716614968583472,0.24854847689493376
23,2.0,30183.727034120733,31496.062992125982,5.716614968583472,5.965163445478406,0.24854847689493376
24,2.0,31496.062992125982,32808.39895013123,5.965163445478406,6.2137119223733395,0.24854847689493376
25,2.3209963318805147,32808.39895013123,34120.73490813648,6.2137119223733395,6.462260399268273,0.24854847689493376
26,2.0,34120.73490813648,35433.07086614173,6.462260399268273,6.710808876163206,0.24854847689493287
27,2.0,35433.07086614173,36745.40682414698,6.710808876163206,6.95935735305814,0.24854847689493376
28,2.0,36745.40682414698,38057.74278215223,6.95935735305814,7.207905829953074,0.24854847689493376
29,3.2758247622795533,38057.74278215223,39370.07874015748,7.207905829953074,7.456454306848007,0.24854847689493376
30,4.0,39370.07874015748,40682.41469816273,7.456454306848007,7.705002783742941,0.24854847689493376
31,3.816269154143222,40682.41469816273,41994.75065616798,7.705002783742941,7.953551260637874,0.24854847689493287
32,2.103591601437261,41994.75065616798,43307.086614173226,7.953551260637874,8.202099737532809,0.24854847689493464
33,2.0,43307.086614173226,44619.422572178475,8.202099737532809,8.45064821442774,0.24854847689493198
34,2.3188961458283983,44619.422572178475,45931.758530183724,8.45064821442774,8.699196691322674,0.24854847689493376
35,3.0,45931.758530183724,47244.09448818897,8.699196691322674,8.947745168217608,0.24854847689493376
