noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,18.5464091180708,18.546409118401847,18.546409118091738,18.54640911785384,18.546409118256282
1e-07,18.5464091180708,18.546565763395627,18.546410409230923,18.546323710913132,18.54649593602633
0.0001,18.5464091180708,19.393912662795543,18.627362329875723,18.542090983108505,18.80372138011566
0.01,18.5464091180708,38.59347308654744,26.779213188885734,21.006911910310457,37.60343444026071
0.1,18.5464091180708,38.17967856320819,25.66955961222313,20.866674837232367,33.91831497204389
1,18.5464091180708,57.2628396855297,34.76272237417057,23.87751418899769,53.226843359477485
5,18.5464091180708,61.308892203109245,42.55294003972497,24.803666754120815,59.57005120464107
