noise,true_mape,max,mean,percentile_5,percentile_95,J_cost
1e-13,103.55706122124546,103.55706122124546,103.55706122124543,103.55706122124546,103.55706122124546,41950150.814406425
1e-07,103.55706122124546,103.55706122297872,103.55706122120228,103.55706122033854,103.55706122205481,41950150.814406425
0.0001,103.55706122124546,103.55706295450679,103.55706117806734,103.55706031433529,103.55706203061237,41950150.814406425
0.01,103.55706122124546,103.55723454589076,103.55705690166178,103.55697052832285,103.55714215603108,41950150.814406425
0.1,103.55706122124546,103.55879433226454,103.55701786405756,103.5561541189084,103.55787039579924,41950150.814406425
1,103.55706122124546,103.57438171595388,103.5566120818952,103.54797188065679,103.56513717724927,41950150.814406425
5,103.55706122124546,103.64372628652974,103.55455272159355,103.51121168311931,103.59715079015402,41950150.814406425
