noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,15.631877672695522,15.63187770300443,15.631877675028154,15.631877660548566,15.631877685970247
1e-07,15.631877672695522,15.632613600064788,15.631869127709793,15.631495914631426,15.632221084390233
0.0001,15.631877672695522,17.03882821188677,15.986842195006775,15.627925289540268,16.61423930258517
0.01,15.631877672695522,38.14385949718014,24.43672123788803,16.440996002111252,36.187278769919416
0.1,15.631877672695522,50.357360575532425,31.883069561925055,20.02327944248241,47.42916351640491
1,15.631877672695522,56.03411012447701,41.721433110751974,23.16162726199868,53.341624965220106
5,15.631877672695522,61.951483342247386,52.10556654083088,32.296556656936446,60.116393828726785
