noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,14.105001711223931,14.105001901490196,14.10500152950048,14.105001099651599,14.105001718663816
1e-07,14.105001711223931,14.215388873906573,14.114347940162888,14.101669495170817,14.148856386609449
0.0001,14.105001711223931,55.62480190576618,37.40688421275403,17.697928298953375,55.39689041580757
0.01,14.105001711223931,55.62463585781504,50.40454335751158,45.0649085834008,54.57392745408089
0.1,14.105001711223931,64.06865952986443,53.02081217088501,43.4147341779637,63.11017135725203
1,14.105001711223931,75.98569592571131,59.00618334051289,40.27516564251525,75.15645580706104
5,14.105001711223931,127.7878654155941,81.98296361460811,41.071980052569415,126.30622549026451
