noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,18.8140441212569,18.814044121895236,18.814044121384658,18.8140441211821,18.814044121641924
1e-07,18.8140441212569,18.81406436706201,18.814043898415825,18.81403307584621,18.814053642545677
0.0001,18.8140441212569,18.86638911301544,18.816827563635474,18.811336250112145,18.83077560996085
0.01,18.8140441212569,26.037667366159962,21.298220048959184,18.860506875192552,24.760170930711475
0.1,18.8140441212569,35.724633752349575,22.609206117331276,20.10413583241657,24.883527443684304
1,18.8140441212569,53.05587417511906,26.111724434995395,22.204837936456023,36.42417471931849
5,18.8140441212569,54.05547206952453,33.97718669442179,22.918408324673123,52.85265906860117
