noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,26.962032685062674,27.54708757724826,27.21736241660749,26.706634924661277,27.382341055261584
1e-07,26.962032685062674,30.696845118919946,29.375856679108043,28.825280921943925,29.890108976980123
0.0001,26.962032685062674,44.35064141412215,35.96520123355699,30.260373009133122,43.976554515926324
0.01,26.962032685062674,45.6019487561626,39.51563058343931,33.83046086670814,43.79393445861568
0.1,26.962032685062674,54.95192433693117,44.777039632145936,37.289021125877284,51.78167729673959
1,26.962032685062674,58.28168563947629,45.91620973303514,38.4748717031711,55.41128828121741
5,26.962032685062674,58.76819765558178,47.800683732101724,38.74086732517472,58.025683151302374
